Protein A;Gene A;Protein B;Gene B;Score;PMID
Q15075;EEA1;P04626;ERBB2;0.21;16314522 
Q15797;SMAD1;P04626;ERBB2;0.126;24412244 
Q3ZCQ8;TIMM50;P04626;ERBB2;0.126;24189400 
Q68CZ2;TNS3;P04626;ERBB2;0.183;16273093 
Q6PK50;HSP90AB1;P04626;ERBB2;0.126;25036637 
Q6PKX4;DOK6;P04626;ERBB2;0.183;16273093 
Q7KZ85;SUPT6H;P04626;ERBB2;0.183;16273093 
Q8IXB1;DNAJC10;P04626;ERBB2;0.126;24189400 
Q8NEJ0;DUSP18;P04626;ERBB2;0.183;28065597 
Q8NHS0;DNAJB8;P04626;ERBB2;0.126;24189400 
Q8TF42;UBASH3B;P04626;ERBB2;0.126;24189400 
Q8WTR2;DUSP19;P04626;ERBB2;0.183;28065597 
Q8WUJ0;STYX;P04626;ERBB2;0.183;28065597 
Q8WUY1;THEM6;P04626;ERBB2;0.126;24189400 
Q8WV28;BLNK;P04626;ERBB2;0.183;16273093 
Q8WYL5;SSH1;P04626;ERBB2;0.126;28065597 
Q92504;SLC39A7;P04626;ERBB2;0.126;24189400 
Q92529;SHC3;P04626;ERBB2;0.183;16273093 
Q92729;PTPRU;P04626;ERBB2;0.183;28065597 
Q93034;CUL5;P04626;ERBB2;0.21;19933325 
Q93084;ATP2A3;P04626;ERBB2;0.126;24189400 
Q96BE0;Q96BE0;P04626;ERBB2;0.126;25036637 
Q96FQ6;S100A16;P04626;ERBB2;0.126;24189400 
Q99623;PHB2;P04626;ERBB2;0.126;24189400 
Q99650;OSMR;P04626;ERBB2;0.365;11821958 25241761 
Q99959;PKP2;P04626;ERBB2;0.126;24189400 
Q9BRG2;SH2D3A;P04626;ERBB2;0.183;16273093 
Q9BTE6;AARSD1;P04626;ERBB2;0.126;25036637 
Q9BVV7;TIMM21;P04626;ERBB2;0.126;24189400 
Q9GZT3;SLIRP;P04626;ERBB2;0.126;24189400 
Q9H0C8;ILKAP;P04626;ERBB2;0.183;28065597 
Q9H254;SPTBN4;P04626;ERBB2;0.126;24189400 
Q9HAV0;GNB4;P04626;ERBB2;0.126;24189400 
Q9HCY8;S100A14;P04626;ERBB2;0.126;24189400 
Q9NTG1;PKDREJ;P04626;ERBB2;0.126;24189400 
Q9NVI7;ATAD3A;P04626;ERBB2;0.126;24189400 
Q9NZJ7;MTCH1;P04626;ERBB2;0.183;25640309 
Q9P035;PTPLAD1;P04626;ERBB2;0.126;24189400 
Q9P0L0;VAPA;P04626;ERBB2;0.126;24189400 
Q9P1Z9;CCDC180;P04626;ERBB2;0.126;24412244 
Q9UBM7;DHCR7;P04626;ERBB2;0.126;24189400 
Q9Y251;HPSE;P04626;ERBB2;0.126;26496610 
Q9Y266;NUDC;P04626;ERBB2;0.126;25036637 
P04629;NTRK1;P00533;EGFR;0.126;25921289 
P04626;ERBB2;O94812;BAIAP3;0.126;25640309 
P04792;HSPB1;P00533;EGFR;0.416;24189400 15657067 23397142 
P00533;EGFR;O94898;LRIG2;0.21;25353163 
P00533;EGFR;O95219;SNX4;0.21;9819414 
Q92569;PIK3R3;P00533;EGFR;0.583;16273093 24658140 25241761 25402006 
Q92600;RQCD1;P00533;EGFR;0.454;20878056 
P32004;L1CAM;P21860;ERBB3;0.309;22815787 
Q96JA1;LRIG1;Q15303;ERBB4;0.376;15345710 15282549 
P00533;EGFR;P00519;ABL1;0.523;16273093 24658140 25402006 
P11387;TOP1;P00533;EGFR;0.236;24780295 
P00533;EGFR;O43592;XPOT;0.236;15657067 23956138 
P00533;EGFR;O15269;SPTLC1;0.236;23956138 28065597 
P00533;EGFR;O14965;AURKA;0.659;23520446 
P00533;EGFR;O00170;AIP;0.286;20029029 
P00533;EGFR;O14522;PTPRT;0.286;28065597 
P11309;PIM1;P00533;EGFR;0.286;24658140 25402006 
P00533;EGFR;O94992;HEXIM1;0.286;20029029 
P00533;EGFR;O94875;SORBS2;0.286;20029029 
P00533;EGFR;O95433;AHSA1;0.286;20029029 
P00533;EGFR;O95470;SGPL1;0.236;24189400 23956138 
P05026;ATP1B1;P00533;EGFR;0.376;16799092 
P04075;ALDOA;P00533;EGFR;0.286;20029029 
P01040;CSTA;P00533;EGFR;0.236;24189400 
P02545;LMNA;P00533;EGFR;0.236;24780295 
P04264;KRT1;P00533;EGFR;0.236;15657067 28065597 
P04114;APOB;P00533;EGFR;0.236;24189400 28065597 
P05362;ICAM1;P00533;EGFR;0.376;16799092 
P06132;UROD;P00533;EGFR;0.286;20029029 
P07437;TUBB;P00533;EGFR;0.236;15657067 23956138 
P06702;S100A9;P00533;EGFR;0.376;16799092 
P06748;NPM1;P00533;EGFR;0.236;24780295 
P07949;RET;P00533;EGFR;0.286;24658140 25402006 
P09496;CLTA;P00533;EGFR;0.376;16799092 
P09382;LGALS1;P00533;EGFR;0.309;23956138 19225046 
P0CG48;UBC;P00533;EGFR;0.376;27475501 19531499 
P10275;AR;P00533;EGFR;0.523;15305378 15288768 
Q02246;CNTN2;P00533;EGFR;0.286;20029029 
P35813;PPM1A;P00533;EGFR;0.286;28065597 
P23467;PTPRB;P00533;EGFR;0.472;19167335 28065597 8870675 
P17174;GOT1;P00533;EGFR;0.286;20029029 
P13866;SLC5A1;P00533;EGFR;0.376;18455122 
P13647;KRT5;P00533;EGFR;0.236;15657067 28065597 
P16885;PLCG2;P00533;EGFR;0.554;16273093 24658140 25241761 25402006 
P16234;PDGFRA;P00533;EGFR;0.454;24658140 25402006 
P23246;SFPQ;P00533;EGFR;0.236;24189400 
P18433;PTPRA;P00533;EGFR;0.286;28065597 
P18085;ARF4;P00533;EGFR;0.454;12446727 
P18074;ERCC2;P00533;EGFR;0.236;24780295 
P20336;RAB3A;P00533;EGFR;0.286;20029029 
P20936;RASA1;P00533;EGFR;0.681;16273093 1385407 8647858 
P35637;FUS;P00533;EGFR;0.236;24780295 
P29590;PML;P00533;EGFR;0.623;23563092 
P26232;CTNNA2;P00533;EGFR;0.236;24189400 
P25705;ATP5A1;P00533;EGFR;0.236;24189400 
P25205;MCM3;P00533;EGFR;0.236;24780295 
P35321;SPRR1A;P00533;EGFR;0.236;24189400 
P31946;YWHAB;P00533;EGFR;0.286;24658140 25402006 
P31689;DNAJA1;P00533;EGFR;0.236;15657067 23956138 
P31321;PRKAR1B;P00533;EGFR;0.286;20029029 
P31939;ATIC;P00533;EGFR;0.286;20029029 
P33991;MCM4;P00533;EGFR;0.236;24780295 
Q01973;ROR1;P00533;EGFR;0.692;22439932 
P49908;SEPP1;P00533;EGFR;0.286;20029029 
P39748;FEN1;P00533;EGFR;0.236;24780295 
P40855;PEX19;P00533;EGFR;0.236;15657067 23956138 
P41222;PTGDS;P00533;EGFR;0.286;20029029 
P49798;RGS4;P00533;EGFR;0.286;24658140 25402006 
P45983;MAPK8;P00533;EGFR;0.286;24658140 25402006 
P43243;MATR3;P00533;EGFR;0.286;20029029 
P48594;SERPINB4;P00533;EGFR;0.236;24189400 
P49411;TUFM;P00533;EGFR;0.236;24189400 28065597 
P49069;CAMLG;P00533;EGFR;0.569;24658140 12919676 25402006 
Q00325;SLC25A3;P00533;EGFR;0.236;24189400 15657067 
P56539;CAV3;P00533;EGFR;0.454;9374534 
P53041;PPP5C;P00533;EGFR;0.286;20029029 
P55735;SEC13;P00533;EGFR;0.376;16799092 
P54652;HSPA2;P00533;EGFR;0.236;24189400 23956138 
P53675;CLTCL1;P00533;EGFR;0.376;16799092 
P53680;AP2S1;P00533;EGFR;0.309;24189400 24797263 
P55036;PSMD4;P00533;EGFR;0.286;20029029 
P98175;RBM10;P00533;EGFR;0.309;28065597 18271526 
P61978;HNRNPK;P00533;EGFR;0.236;15657067 28065597 
P61619;SEC61A1;P00533;EGFR;0.309;23956138 20937808 
P62841;RPS15;P00533;EGFR;0.236;24189400 
P62330;ARF6;P00533;EGFR;0.286;20029029 
P78527;PRKDC;P00533;EGFR;0.309;23178489 23956138 
P68104;EEF1A1;P00533;EGFR;0.236;15657067 23956138 
Q13905;RAPGEF1;P00533;EGFR;0.286;24658140 25402006 
Q08881;ITK;P00533;EGFR;0.286;24658140 25402006 
Q05397;PTK2;P00533;EGFR;0.507;24658140 10806474 15657067 25402006 
Q02790;FKBP4;P00533;EGFR;0.286;20029029 
Q08211;DHX9;P00533;EGFR;0.236;24780295 
Q13882;PTK6;P00533;EGFR;0.354;16273093 8940083 
Q13153;PAK1;P00533;EGFR;0.286;24658140 25402006 
Q12905;ILF2;P00533;EGFR;0.236;24780295 
Q12906;ILF3;P00533;EGFR;0.236;24780295 
Q13740;ALCAM;P00533;EGFR;0.376;16799092 
Q13263;TRIM28;P00533;EGFR;0.236;24780295 
Q13561;DCTN2;P00533;EGFR;0.286;20029029 
Q13322;GRB10;P00533;EGFR;0.659;24658140 9506989 25402006 
Q14318;FKBP8;P00533;EGFR;0.454;20029029 
Q16620;NTRK2;P00533;EGFR;0.286;24658140 25402006 
Q15005;SPCS2;P00533;EGFR;0.286;20029029 
Q14566;MCM6;P00533;EGFR;0.236;24780295 
Q14974;KPNB1;P00533;EGFR;0.236;15657067 23956138 
Q6NZI2;PTRF;P00533;EGFR;0.309;18776048 23956138 
Q4JDL3;PTPN20 {ECO:0000312|HGNC:HGNC:23423};P00533;EGFR;0.286;28065597 
Q68CZ2;TNS3;P00533;EGFR;0.523;24658140 25402006 
Q6UWL2;SUSD1;P00533;EGFR;0.236;24189400 
Q6S5L8;SHC4;P00533;EGFR;0.659;24658140 24430869 25402006 
Q6UWJ1;TMCO3;P00533;EGFR;0.286;20029029 
Q8N5H7;SH2D3C;P00533;EGFR;0.286;24658140 25402006 
Q75V66;ANO5;P00533;EGFR;0.236;24189400 
Q8N111;CEND1;P00533;EGFR;0.286;20029029 
Q9NYD6;HOXC10;P00533;EGFR;0.376;16799092 
Q96JX3;SERAC1;P00533;EGFR;0.236;24189400 
Q92522;H1FX;P00533;EGFR;0.236;24189400 
Q92538;GBF1;P00533;EGFR;0.236;23956138 28065597 
Q92889;ERCC4;P00533;EGFR;0.236;24780295 
Q92832;NELL1;P00533;EGFR;0.236;24189400 
Q969Z0;TBRG4;P00533;EGFR;0.236;15657067 23956138 
Q9NXR7;BRE;P00533;EGFR;0.236;24780295 
Q96QV6;HIST1H2AA;P00533;EGFR;0.236;24189400 
Q99952;PTPN18;P00533;EGFR;0.286;24658140 25402006 
Q99759;MAP3K3;P00533;EGFR;0.286;24658140 25402006 
Q99784;OLFM1;P00533;EGFR;0.286;20029029 
Q9NSE2;CISH;P00533;EGFR;0.554;16273093 24658140 25402006 
Q9H6Q3;SLA2;P00533;EGFR;0.286;24658140 25402006 
Q9BRG2;SH2D3A;P00533;EGFR;0.61;24658140 10187783 25402006 
Q9NNZ3;DNAJC4;P00533;EGFR;0.286;20029029 
Q9NR50;EIF2B3;P00533;EGFR;0.236;15657067 23956138 
Q9Y237;PIN4;P00533;EGFR;0.286;20029029 
Q9UGK3;STAP2;P00533;EGFR;0.286;24658140 25402006 
Q9NZM3;ITSN2;P00533;EGFR;0.286;24658140 25402006 
Q9NYF8;BCLAF1;P00533;EGFR;0.309;28065597 18271526 
Q9UBB4;ATXN10;P00533;EGFR;0.236;15657067 23956138 
Q9UMD9;COL17A1;P00533;EGFR;0.236;24189400 
Q9UPY6;WASF3;P00533;EGFR;0.286;24658140 25402006 
Q9Y3A3;MOB4;P00533;EGFR;0.286;20029029 
Q9Y5X1;SNX9;P00533;EGFR;0.286;24658140 25402006 
Q96CW1;AP2M1;P00533;EGFR;0.671;23956138 20029029 24189400 24797263 
Q58DX5;NAALADL2;P04626;ERBB2;0.236;26186194 28514442 
P37173;TGFBR2;P04626;ERBB2;0.236;26186194 28514442 
Q99962;SH3GL2;P00533;EGFR;0.78;24658140 15456872 25402006 24854121 11894095 
Q96RS6;NUDCD1;Q15303;ERBB4;0.236;25036637 
P34932;HSPA4;P00533;EGFR;0.722;24658140 12006493 20029029 18271526 25402006 
Q13596;SNX1;P00533;EGFR;0.236;8638121 9819414 
Q15303;ERBB4;P07900;HSP90AA1;0.236;24658140 22939624 
Q13636;RAB31;P00533;EGFR;0.454;19725050 
Q16539;MAPK14;P00533;EGFR;0.396;7535770 23397142 
P04406;GAPDH;P00533;EGFR;0.74;24658140 20029029 16799092 25402006 23956138 
Q16543;CDC37;P04626;ERBB2;0.416;25036637 24189400 
Q13191;CBLB;P00533;EGFR;0.899;15657067 16729043 10086340 11375397 10635327 24797263 16702950 19531499 18271526 
P98172;EFNB1;P04626;ERBB2;0.523;22279592 
P11498;PC;P04626;ERBB2;0.236;26496610 
P04626;ERBB2;O00459;PIK3R2;0.597;16273093 1334406 16729043 
P04626;ERBB2;O95292;VAPB;0.236;24189400 26496610 
P04626;ERBB2;O15260;SURF4;0.236;26496610 
P04626;ERBB2;O75367;H2AFY;0.787;22589551 
P08133;ANXA6;P04626;ERBB2;0.286;25640309 
P05023;ATP1A1;P04626;ERBB2;0.236;24189400 26496610 
P29350;PTPN6;P04626;ERBB2;0.286;28065597 
P22681;CBL;P04626;ERBB2;0.376;25081058 26716506 
P49005;POLD2;P04626;ERBB2;0.286;25640309 
P40763;STAT3;P04626;ERBB2;0.648;16273093 11940572 20876300 
P35222;CTNNB1;P04626;ERBB2;0.794;11950845 7702605 11245482 
P46940;IQGAP1;P04626;ERBB2;0.659;21724847 
P41252;IARS;P04626;ERBB2;0.286;25640309 
P42224;STAT1;P04626;ERBB2;0.463;16273093 25241761 
Q969S3;ZNF622;P04626;ERBB2;0.236;26496610 
Q15904;ATP6AP1;P04626;ERBB2;0.286;25640309 
Q05209;PTPN12;P04626;ERBB2;0.416;19167335 21376233 
Q00341;HDLBP;P04626;ERBB2;0.286;25640309 
Q15256;PTPRR;P04626;ERBB2;0.286;28065597 
Q13882;PTK6;P04626;ERBB2;0.757;20700126 18719096 
Q92973;TNPO1;P04626;ERBB2;0.236;26496610 
Q3V6T2;CCDC88A;P04626;ERBB2;0.236;26496610 
Q92748;THRSP;P04626;ERBB2;0.286;25640309 
Q8ND82;ZNF280C;P04626;ERBB2;0.236;26496610 
Q9BUL5;PHF23;P04626;ERBB2;0.286;25640309 
Q96RT1;ERBB2IP;P04626;ERBB2;0.888;11278603 10878805 12379659 
Q9Y5J1;UTP18;P04626;ERBB2;0.286;25640309 
P12830;CDH1;P00533;EGFR;0.671;24658140 24189400 25241761 10969083 25468996 25402006 
Q14247;CTTN;P00533;EGFR;0.523;24658140 25402006 
Q14457;BECN1;P00533;EGFR;0.731;24034250 
P16070;CD44;P04626;ERBB2;0.376;12093135 17092940 
Q15165;PON2;P00533;EGFR;0.236;26186194 28514442 
Q15303;ERBB4;Q13425;SNTB2;0.523;10725395 
Q15303;ERBB4;Q06124;PTPN11;0.49;28065597 16729043 
Q15303;ERBB4;P29353;SHC1;0.523;16273093 24658140 16729043 
Q15303;ERBB4;P08238;HSP90AB1;0.236;22939624 
Q15303;ERBB4;P21860;ERBB3;0.61;20227043 10572067 
Q9NYJ8;TAB2;Q15303;ERBB4;0.454;17018285 
Q15303;ERBB4;Q15303;ERBB4;0.554;18334220 20943952 
Q96J02;ITCH;Q15303;ERBB4;0.937;17463226 18334649 
Q15700;DLG2;Q15303;ERBB4;0.523;10725395 
Q92796;DLG3;Q15303;ERBB4;0.523;10725395 
P17252;PRKCA;P00533;EGFR;0.61;24658140 12878187 25402006 
P98077;SHC2;P00533;EGFR;0.354;16273093 24430869 
P00533;EGFR;O00459;PIK3R2;0.772;24658140 1334406 25402006 16273093 23956138 19531499 
P21860;ERBB3;O00459;PIK3R2;0.61;16273093 16729043 24189400 
Q8NBA8;DTWD2;P04626;ERBB2;0.236;26186194 28514442 
Q8NBJ4;GOLM1;P00533;EGFR;0.765;27569582 
Q9Y4L5;RNF115;P00533;EGFR;0.454;23418353 
Q15303;ERBB4;Q02297;NRG1;0.523;9168115 10970856 
P82930;MRPS34;P21860;ERBB3;0.236;24189400 
P21860;ERBB3;O15431;SLC31A1;0.236;26186194 28514442 
P82663;MRPS25;P21860;ERBB3;0.236;24189400 
P21860;ERBB3;P08238;HSP90AB1;0.236;24189400 22939624 
P22626;HNRNPA2B1;P21860;ERBB3;0.236;24189400 
P21860;ERBB3;P20036;HLA-DPA1;0.236;26186194 28514442 
P21860;ERBB3;P21860;ERBB3;0.49;20007378 23436906 
P82650;MRPS22;P21860;ERBB3;0.236;24189400 
P41240;CSK;P21860;ERBB3;0.236;16729043 
P42704;LRPPRC;P21860;ERBB3;0.236;24189400 
Q9Y676;MRPS18B;P21860;ERBB3;0.236;24189400 
Q3ZCM7;TUBB8;P21860;ERBB3;0.236;26186194 28514442 
Q13882;PTK6;P21860;ERBB3;0.354;16273093 11114724 
Q06124;PTPN11;P21860;ERBB3;0.354;28065597 9756944 
Q15165;PON2;P21860;ERBB3;0.236;24189400 
Q562R1;ACTBL2;P21860;ERBB3;0.236;24189400 
Q9HBH1;PDF;P21860;ERBB3;0.236;26186194 28514442 
Q99729;HNRNPAB;P21860;ERBB3;0.236;24189400 
Q9BYN8;MRPS26;P21860;ERBB3;0.236;24189400 
Q05209;PTPN12;P00533;EGFR;0.671;24658140 20029029 21376233 25402006 28065597 
P29350;PTPN6;P00533;EGFR;0.722;28065597 9733788 7673163 
P62993;GRB2;P21860;ERBB3;0.539;24658140 16729043 24189400 9756944 
P29353;SHC1;P21860;ERBB3;0.702;24658140 16729043 24189400 9756944 11546794 16273093 
Q15303;ERBB4;P62993;GRB2;0.539;24658140 25140053 16729043 
P46934;NEDD4;P00533;EGFR;0.332;19953087 
P51451;BLK;P00533;EGFR;0.583;16273093 24658140 25402006 
P00533;EGFR;O43147;SGSM2;0.286;16169070 
Q15303;ERBB4;P46937;YAP1;0.914;25283809 19047365 12807903 15023535 
P52735;VAV2;P00533;EGFR;0.757;12454019 19531499 10938113 20940296 18271526 
P30530;AXL;P00533;EGFR;0.376;25873175 
P27348;YWHAQ;P00533;EGFR;0.636;24658140 20029029 24189400 15657067 25402006 
Q07912;TNK2;P00533;EGFR;0.787;15657067 20086093 17182860 18271526 18435854 19815557 
Q07889;SOS1;P00533;EGFR;0.853;10675333 19289468 23956138 19531499 9447973 7510700 20473329 18271526 
Q07890;SOS2;P00533;EGFR;0.692;24658140 10675333 18271526 25402006 23956138 19531499 
Q9UJ41;RABGEF1;P00533;EGFR;0.702;16499958 28065597 
Q9UJM3;ERRFI1;P04626;ERBB2;0.523;25640309 24189400 
Q9H8T0;AKTIP;P00533;EGFR;0.376;25151576 27535835 
Q9UBN7;HDAC6;P04626;ERBB2;0.286;20029029 
Q9UNE7;STUB1;P00533;EGFR;0.722;24658140 20029029 27475501 25402006 
P42684;ABL2;P00533;EGFR;0.61;16273093 24658140 25402006 
P68366;TUBA4A;P21860;ERBB3;0.332;26186194 28514442 24189400 
Q14451;GRB7;P21860;ERBB3;0.712;16273093 9516479 24189400 
P40818;USP8;P00533;EGFR;0.832;16120644 23153581 23477725 23333852 25485838 25853104 
P46108;CRK;P00533;EGFR;0.891;24658140 9642287 10595738 16729043 9617486 25402006 16273093 
P42229;STAT5A;P00533;EGFR;0.74;24658140 22729867 24135280 16729043 10358079 25402006 
P42566;EPS15;P00533;EGFR;0.787;16499958 9049247 15701692 21226813 16429130 19109251 
P27986;PIK3R1;P00533;EGFR;0.772;8662998 25241761 7797556 16273093 19531499 21701776 
Q8IZV2;CMTM8;P00533;EGFR;0.454;16263120 
Q12933;TRAF2;P00533;EGFR;0.659;24658140 23972990 18271526 25402006 
Q8TF42;UBASH3B;P00533;EGFR;0.826;15159412 24189400 18271526 23956138 17880946 
Q16543;CDC37;P00533;EGFR;0.731;12471035 24189400 25036637 23956138 
Q92529;SHC3;P00533;EGFR;0.554;16273093 9507002 8662772 
Q92870;APBB2;P00533;EGFR;0.702;16273093 24658140 25402006 
Q14289;PTK2B;P04626;ERBB2;0.365;25241761 10713673 
Q96JA1;LRIG1;P00533;EGFR;0.507;18542056 15345710 15282549 
Q15303;ERBB4;P42229;STAT5A;0.454;15534001 22584572 16729043 
P07585;DCN;P00533;EGFR;0.671;12105206 9988678 
P04626;ERBB2;O95980;RECK;0.454;21255571 
P08238;HSP90AB1;P00533;EGFR;0.78;22939624 24658140 12471035 15657067 23956138 20029029 24189400 25402006 
P00533;EGFR;O14543;SOCS3;0.436;24658140 12070153 25402006 
P05067;APP;P00533;EGFR;0.416;24658140 25402006 
P00533;EGFR;O60884;DNAJA2;0.332;23956138 24189400 15657067 
P00533;EGFR;O94973;AP2A2;0.396;23956138 24189400 24797263 
P01135;TGFA;P00533;EGFR;0.681;24658140 10775655 12297049 25402006 8663070 
P05023;ATP1A1;P00533;EGFR;0.454;16799092 28065597 
P08631;HCK;P00533;EGFR;0.376;24658140 23397142 25402006 
P0DMV8;HSPA1A;P00533;EGFR;0.416;20029029 25402006 24189400 
P09874;PARP1;P00533;EGFR;0.332;28065597 24780295 
P0DP24;CALM2 {ECO:0000303|PUBMED:9681195, ECO:0000312|HGNC:HGNC:1445};P00533;EGFR;0.49;14960328 25402006 16799092 
P0DMV9;HSPA1B {ECO:0000312|HGNC:HGNC:5233};P00533;EGFR;0.416;20029029 25402006 24189400 
P0DP23;CALM1 {ECO:0000303|PUBMED:7925473, ECO:0000312|HGNC:HGNC:1442};P00533;EGFR;0.49;14960328 25402006 16799092 
P0DP25;CALM3 {ECO:0000312|HGNC:HGNC:1449};P00533;EGFR;0.49;14960328 25402006 16799092 
P15941;MUC1;P00533;EGFR;0.908;24658140 11483589 11278868 25402006 16983337 21258405 
P16615;ATP2A2;P00533;EGFR;0.332;23956138 24189400 15657067 
P16333;NCK1;P00533;EGFR;0.801;24658140 10026169 9362449 1333047 25402006 16273093 8662998 
P27695;APEX1;P00533;EGFR;0.332;28065597 24780295 
P26641;EEF1G;P00533;EGFR;0.376;28065597 20029029 
P27824;CANX;P00533;EGFR;0.332;24189400 28065597 
P30307;CDC25C;P00533;EGFR;0.376;24658140 25402006 
P32121;ARRB2;P00533;EGFR;0.416;24658140 25402006 
P31948;STIP1;P00533;EGFR;0.376;20029029 
P49756;RBM25;P00533;EGFR;0.332;24189400 28065597 
P55060;CSE1L;P00533;EGFR;0.332;23956138 28065597 15657067 
P68366;TUBA4A;P00533;EGFR;0.396;23956138 16799092 24189400 
Q02952;AKAP12;P00533;EGFR;0.376;20029029 
Q8IUR7;ARMC8;P00533;EGFR;0.332;23956138 24189400 
Q8WV24;PHLDA1;P00533;EGFR;0.332;23956138 24189400 
Q96TA1;FAM129B;P00533;EGFR;0.623;26721396 
Q9H0D6;XRN2;P00533;EGFR;0.332;24780295 24189400 
Q9Y2H9;MAST1;P00533;EGFR;0.376;20029029 
P14923;JUP;P04626;ERBB2;0.445;7702605 25241761 
P15311;EZR;P04626;ERBB2;0.472;24658140 27029001 
P15941;MUC1;P04626;ERBB2;0.454;12939402 11278868 
P04626;ERBB2;P02786;TFRC;0.332;26496610 24189400 
P12931;SRC;P04626;ERBB2;0.895;11940572 21075308 17875712 
P34932;HSPA4;P04626;ERBB2;0.507;12006493 21503962 17239458 
Q15303;ERBB4;P78352;DLG4;0.945;10725395 10839362 16767099 17018285 
P00533;EGFR;O75791;GRAP2;0.454;24658140 25402006 
P09769;FGR;P00533;EGFR;0.454;24658140 25402006 
P10599;TXN;P00533;EGFR;0.416;24658140 20029029 15657067 
P14625;HSP90B1;P00533;EGFR;0.507;12471035 28065597 20029029 
P19174;PLCG1;P00533;EGFR;0.922;11983899 7693694 9756944 16273093 9207933 12803489 7993895 14568990 9020117 12061819 
P31749;AKT1;P00533;EGFR;0.49;24658140 25402006 
P31943;HNRNPH1;P00533;EGFR;0.472;24189400 15657067 18271526 
P35221;CTNNA1;P00533;EGFR;0.416;24189400 25241761 15657067 
P63010;AP2B1;P00533;EGFR;0.472;23956138 24189400 24797263 
Q12852;MAP3K12;P00533;EGFR;0.454;20029029 
Q86VI4;LAPTM4B;P00533;EGFR;0.569;25594178 
P18031;PTPN1;P00533;EGFR;0.934;24658140 9355745 7693694 9050838 10889023 8621392 25796184 25402006 
Q99952;PTPN18;P04626;ERBB2;0.702;25081058 
Q03135;CAV1;P00533;EGFR;0.95;24658140 9374534 10781609 16407214 19446582 12388423 25402006 15273741 16799092 15657067 
P21860;ERBB3;P00533;EGFR;0.837;10527633 24189400 22439932 18803307 23436906 10572067 
P29353;SHC1;P04626;ERBB2;0.876;24658140 16729043 10085134 9710588 9756944 16273093 28065597 16843263 
Q9UJM3;ERRFI1;P00533;EGFR;0.955;18776048 23956138 26280531 28065597 19531499 19815557 24189400 18271526 
Q9UNE7;STUB1;P04626;ERBB2;0.93;17239458 12574167 26716506 12239347 17875712 
P42224;STAT1;P00533;EGFR;0.872;24658140 24797263 10358079 25402006 12070153 23956138 
Q15303;ERBB4;P04626;ERBB2;0.61;24557338 10572067 10839362 16767099 
Q96B97;SH3KBP1;P00533;EGFR;0.925;12734385 21635887 15456872 12771190 12177062 11894095 16849543 
P00533;EGFR;O00750;PIK3C2B;0.92;24658140 11533253 10805725 25402006 
Q02297;NRG1;P21860;ERBB3;0.975;7592681 9168115 10970856 17697999 11555649 
P62993;GRB2;P04626;ERBB2;0.872;24658140 16729043 9710588 9756944 16273093 24189400 17875712 11606575 
P00533;EGFR;O95782;AP2A1;0.539;20029029 24189400 24797263 23956138 
P07992;ERCC1;P00533;EGFR;0.735;24780295 
P08195;SLC3A2;P00533;EGFR;0.583;16799092 24189400 15657067 
P35222;CTNNB1;P00533;EGFR;0.671;9535896 24189400 9233779 11950845 
P38646;HSPA9;P00533;EGFR;0.49;28065597 20029029 24189400 15657067 
P46940;IQGAP1;P00533;EGFR;0.74;21349850 19114553 
Q9ULV8;CBLC;P00533;EGFR;0.837;10362357 22888118 10571044 
Q9UBN7;HDAC6;P00533;EGFR;0.899;24658140 20029029 20133936 25402006 
Q9H4P4;RNF41;P21860;ERBB3;0.794;11867753 12411582 17384230 21576364 
P11021;HSPA5;P00533;EGFR;0.597;12471035 24189400 15657067 23956138 28065597 
Q9UQB8;BAIAP2;P00533;EGFR;0.61;24658140 24189400 25402006 
P07900;HSP90AA1;P04626;ERBB2;0.945;24658140 12006493 17239458 11071886 20558745 24189400 25036637 21503962 26804907 22939624 18655187 20159553 22315411 16144943 
P40763;STAT3;P00533;EGFR;0.99;24658140 14966128 24189400 21573184 18258752 10358079 25402006 24135280 25241761 15657067 15950906 15485908 20145033 9756944 23956138 
P27986;PIK3R1;P21860;ERBB3;0.983;22439932 9130710 16273093 20007781 18803287 24189400 15812817 21075308 11546794 20227043 11694521 9756944 10572067 10383151 
P12931;SRC;P00533;EGFR;0.97;17284441 24658140 10777553 23175185 21268077 24189400 21573184 17158602 10358079 10971656 25402006 20333651 28065597 
P01133;EGF;P00533;EGFR;1;10085134 25080504 23597562 19531499 12093292 18427122 10970856 17697999 25453753 21439278 25241761 2790960 11684674 12297050 26280537 12620237 18271526 22729867 8663535 
P11142;HSPA8;P00533;EGFR;0.794;24658140 12471035 15657067 23956138 28065597 20029029 24189400 25402006 
P04626;ERBB2;P04626;ERBB2;0.925;14576349 19077306 21255571 19650109 23436906 19060928 16843263 21480528 
P21860;ERBB3;P04626;ERBB2;0.996;23688700 15504738 9130710 23436906 7592681 19411071 17426253 23680147 19060928 20227043 24557338 25241761 10572067 16843263 22806884 15812817 21075308 
P04626;ERBB2;P00533;EGFR;0.99;19650109 17486068 23436906 24189400 19060928 18803307 16516204 16207817 20211985 24557338 25241761 15657067 11408594 10572067 16843263 21044682 17307140 
